Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",0,4.26,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,,2025/04/14,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",3,4.15,Crown Currency,Hardcover,195,2014,2014,,2025/03/31,,,read,,,,1,0
17607,All About Love: New Visions,bell hooks,"hooks, bell",,"=""0688168442""","=""9780688168445""",5,4.02,William Morrow,Hardcover,240,1999,1999,,2022/01/08,,,read,,,,1,0
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",5,3.77,Free Press,Hardcover,276,2008,2008,,2021/12/19,,,read,,,,1,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",5,4.12,Harper,Mass Market Paperback,417,2003,1967,,2024/12/13,,,read,,,,1,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",3,4.10,Time Warner Books UK,Paperback,195,2001,1997,,2021/12/19,,,read,,,,1,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",5,4.12,Vintage International,Paperback,467,2006,2002,2021/10/12,2021/02/28,,,read,,,,1,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",5,4.13,Knopf,Hardcover,401,2022,2022,,2023/08/06,,,read,,,,1,0
27071490,Homegoing,Yaa Gyasi,"Gyasi, Yaa",,"=""""","=""""",0,4.47,Alfred A. Knopf,Hardcover,305,2016,2016,,2023/07/16,to-read,to-read (#1),to-read,,,,0,0
18282006,Fear and Loathing in La Liga,Sid Lowe,"Lowe, Sid",,"=""1568584504""","=""9781568584508""",0,4.30,Bold Type Books,Paperback,480,2014,2012,,2022/02/25,currently-reading,currently-reading (#6),currently-reading,,,,1,0
38116765,The Power of Your Subconscious Mind,Joseph Murphy,"Murphy, Joseph",,"=""""","=""""",0,4.07,Prabhat Prakashan,Kindle Edition,358,2018,1963,,2022/01/05,currently-reading,currently-reading (#5),currently-reading,,,,1,0
45029227,Football Hackers: The Science and Art of a Data Revolution,Christoph Biermann,"Biermann, Christoph",,"=""""","=""""",0,4.24,Blink Publishing,Kindle Edition,306,2019,2019,,2021/08/17,currently-reading,currently-reading (#4),currently-reading,,,,1,0
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""""","=""""",4,4.10,Dial Press,Paperback,275,1999,1969,2021/08/11,2021/07/22,,,read,,,,1,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",5,4.46,Scribner,Hardcover,400,2016,2016,2021/07/26,2021/07/22,,,read,,,,1,0
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",5,4.00,Vintage Books,Paperback,296,2000,1987,2021/07/16,2021/07/08,,,read,,,,1,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",5,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,2021/07/07,2021/07/05,,,read,,,,1,0
18159,"The Art of Intrusion: The Real Stories Behind the Exploits of Hackers, Intruders and Deceivers",Kevin D. Mitnick,"Mitnick, Kevin D.",William L. Simon,"=""0471782661""","=""9780471782667""",5,3.91,Wiley,Paperback,288,2005,2005,,2021/02/28,,,read,,,,1,0
46199,Letters to a Young Poet,Rainer Maria Rilke,"Rilke, Rainer Maria","Franz Xaver Kappus, Reginald Snell","=""0486422453""","=""9780486422459""",5,4.28,Dover Publications,Paperback,80,2002,1929,,2021/02/28,,,read,,,,1,0
43792660,"Surely You`re Joking, Mr. Feynman!",Richard P. Feynman,"Feynman, Richard P.",,"=""5170728816""","=""9785170728817""",5,4.27,"London: The Folio Society, 2012.",Hardcover,0,2012,1985,,2021/02/28,,,read,,,,1,0
13624688,The Time Keeper,Mitch Albom,"Albom, Mitch",,"=""1401322786""","=""9781401322786""",5,3.90,Hyperion,Hardcover,224,2012,2012,,2021/02/28,,,read,,,,1,0
34746655,"The Mixer: The Story of Premier League Tactics, from Route One to False Nines",Michael  Cox,"Cox, Michael",,"=""0008215561""","=""""",5,4.37,HarperCollins,Kindle Edition,571,2017,2017,2021/07/05,2021/02/28,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.80,Back Bay Books,Paperback,277,2001,1951,2021/07/05,2021/02/28,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",4,4.01,Signet Classics,Mass Market Paperback,141,1996,1945,,2019/11/18,,,read,,,,1,0
44152426,Think and Grow Rich,Napoleon Hill,"Hill, Napoleon",,"=""9897788328""","=""9789897788321""",3,4.17,KTHTK,Kindle Edition,240,2025,1937,2021/02/28,2019/07/21,,,read,,,,1,0
29369422,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",4,4.19,Vintage Digital,Kindle Edition,513,2016,2015,2021/02/28,2019/07/21,,,read,,,,1,0
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""000100039X""","=""9780001000391""",5,4.23,Rupa & Co,Paperback,127,2003,1923,2021/02/28,2019/07/21,,,read,,,,1,0
34680719,"Sita: Warrior of Mithila (Ram Chandra, #2)",Amish Tripathi,"Tripathi, Amish",,"=""9386224585""","=""9789386224583""",3,4.01,WESTLAND,Paperback,361,2017,2017,2019/11/18,2019/07/21,,,read,,,,1,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",0,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2021/02/28,currently-reading,currently-reading (#3),currently-reading,,,,1,0
26073086,Soccermatics: Mathematical Adventures in the Beautiful Game Pro-Edition (Bloomsbury Sigma),David Sumpter,"Sumpter, David",,"=""1472924126""","=""9781472924124""",0,3.85,Bloomsbury Sigma,Hardcover,304,2016,2016,,2021/02/28,currently-reading,currently-reading (#2),currently-reading,,,,1,0
7604,Lolita,Vladimir Nabokov,"Nabokov, Vladimir",Craig Raine,"=""""","=""""",0,3.87,Penguin,Paperback,368,1995,1955,,2021/02/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",4,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2019/11/18,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""159463193X""","=""9781594631931""",5,4.35,Riverhead Books,Paperback,371,2004,2003,,2019/07/21,,,read,,,,1,0
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.45,Bantam,Mass Market Paperback,835,2005,1996,,2019/07/21,,,read,,,,1,0
449573,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,"Hawking, Stephen",,"=""0641587716""","=""9780641587719""",5,4.18,New Millennium Entertainment,Unknown Binding,176,2002,2002,,2019/07/21,,,read,,,,1,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",5,4.21,Bantam Books,Paperback,226,1998,1988,,2019/07/21,,,read,,,,1,0
24709327,"Scion of Ikshvaku (Ram Chandra, #1)",Amish Tripathi,"Tripathi, Amish",,"=""9385152149""","=""9789385152146""",3,3.86,Westland Publication,Paperback,354,2015,2015,,2019/07/21,,,read,,,,1,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2019/07/21,,,read,,,,1,0
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",5,3.92,HarperCollins,Paperback,197,1993,1988,,2019/07/21,,,read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""9798804636129""",4,3.87,Harper,Paperback,212,2016,2016,,2019/07/21,,,read,,,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.34,Vintage,Paperback,512,2015,2011,,2019/07/21,,,read,,,,1,0
